dataset,nu,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
shuttle,0.5,0.0715114976475141,0.8732450506759278,0.01667585673173262,0.36925971481468634,0.051023666966482535,0.46537067064739457,0.061886709833675585
fcps_target,0.01,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.05,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.1,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.15,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.2,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.3,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
fcps_target,0.5,0.015584415584415584,0.9800293365864994,0.02143797203058088,0.6644047619047619,0.2717678539487503,0.3994505494505495,0.10894649811608006
graves_fuzzyx,0.01,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.05,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.1,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.15,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.2,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.3,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_fuzzyx,0.5,0.138,0.6344764756883321,0.0410645499555859,0.17155865396878572,0.014967808143566333,0.0,0.0
graves_ring_outliers,0.01,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.05,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.1,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.15,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.2,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.3,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_ring_outliers,0.5,0.02912621359223301,0.8195,0.11190348023582151,0.3095163884607779,0.20977221941417168,0.29182582123758594,0.09729153781670927
graves_zigzag_outliers,0.01,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,0.05,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,0.1,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,0.15,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
graves_zigzag_outliers,0.2,0.10714285714285714,0.8426666666666666,0.08003887944132038,0.37042576137312977,0.17945472215480895,0.3875133689839572,0.1768067352505317
