dataset,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
graves_zigzag_outliers,20,0.161,0.10714285714285714,1.0,0.0,1.0,0.0,0.2852057705790227,0.015438343372805802
sipu_flame,2,0.3338,0.05,0.9369726247987117,0.029622776285054137,0.5428571428571428,0.17985254731448816,0.26666666666666666,0.3265986323710904
sipu_flame,3,0.3338,0.05,0.9267954911433172,0.03600387731805363,0.5196031746031746,0.20132522646901255,0.26666666666666666,0.3265986323710904
sipu_flame,5,0.3338,0.05,0.9223510466988728,0.03806623640871736,0.4606349206349206,0.16597862514808,0.22444444444444445,0.20371851797983717
sipu_flame,7,0.3338,0.05,0.8192109500805154,0.07267229970009902,0.38692316540142624,0.15153983856083172,0.189967376964281,0.07655984197935561
sipu_flame,10,0.3338,0.05,0.6100805152979066,0.13941566791393595,0.10474840399787969,0.02878817303321146,0.11173810874321366,0.02031010435215057
sipu_flame,15,0.3338,0.05,0.5,0.0,0.049999999999999996,0.010206207261596576,0.09505882352941178,0.018443216886838046
sipu_flame,20,0.3338,0.05,0.5,0.0,0.049999999999999996,0.010206207261596576,0.09505882352941178,0.018443216886838046
wut_x2,2,0.8444,0.08333333333333333,0.8681818181818182,0.16287702606517196,0.7591666666666667,0.3136744596977361,0.6,0.3265986323710904
wut_x2,3,0.8444,0.08333333333333333,0.8545454545454545,0.15387555345282505,0.6591666666666667,0.3003747659175118,0.5333333333333333,0.3231786571610886
wut_x2,5,0.8444,0.08333333333333333,0.85,0.1497932459389462,0.6258333333333332,0.2682297936885875,0.5133333333333333,0.3276854860651868
wut_x2,7,0.8444,0.08333333333333333,0.8318181818181818,0.14559652161860878,0.5158333333333334,0.2629480303532747,0.47333333333333333,0.27357712704910925
wut_x2,10,0.8444,0.08333333333333333,0.9409090909090908,0.023177361425421764,0.6066666666666667,0.15441646429200623,0.4066666666666666,0.2585429257288709
wut_x2,15,0.8444,0.08333333333333333,0.9181818181818182,0.04453617714151236,0.58,0.2406934426471426,0.28987012987012994,0.15082479707612564
wut_x2,20,0.8444,0.08333333333333333,0.8454545454545453,0.09469393934545299,0.5349206349206349,0.2983261441513341,0.23545454545454544,0.1339914885664924
