dataset,eps_fraction,eps_abs,min_samples,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
cardio,2.0,5.9539,7,2.9769,0.0961223375204806,0.5460432551671223,0.015821701803873725,0.24636769415634255,0.02396737372352855,0.1448221906116643,0.034461977691538026
cardio,2.0,5.9539,10,2.9769,0.0961223375204806,0.5567712079796672,0.02332400204645438,0.2689489451043175,0.03290696717453223,0.15384658085556674,0.04008540293631582
cardio,2.0,5.9539,15,2.9769,0.0961223375204806,0.5554615642833165,0.02382630641617446,0.27181369196582394,0.038030589524893625,0.21692486375413203,0.04634499873877571
cardio,2.0,5.9539,20,2.9769,0.0961223375204806,0.562407327482856,0.02160775617531111,0.27286881270779273,0.037428647484251835,0.22504821327283037,0.03609180636877703
cardio,3.0,8.9308,2,2.9769,0.0961223375204806,0.5249398168129287,0.020170384402791355,0.1679296988541375,0.023318221296634866,0.0,0.0
cardio,3.0,8.9308,3,2.9769,0.0961223375204806,0.5249398168129287,0.020170384402791355,0.1679296988541375,0.023318221296634866,0.0,0.0
cardio,3.0,8.9308,5,2.9769,0.0961223375204806,0.5270728432359852,0.021935575780571596,0.18526203604292701,0.03638077512200726,0.020512820512820513,0.041025641025641026
cardio,3.0,8.9308,7,2.9769,0.0961223375204806,0.5305255838488467,0.021119781720779402,0.20356030030265498,0.029255248941756896,0.06375606375606375,0.052095955474244254
cardio,3.0,8.9308,10,2.9769,0.0961223375204806,0.5305255838488467,0.021119781720779402,0.20356030030265498,0.029255248941756896,0.06375606375606375,0.052095955474244254
cardio,3.0,8.9308,15,2.9769,0.0961223375204806,0.5305255838488467,0.021119781720779402,0.20356030030265498,0.029255248941756896,0.06375606375606375,0.052095955474244254
cardio,3.0,8.9308,20,2.9769,0.0961223375204806,0.5303529468182037,0.021413477167355754,0.20327393390433618,0.02966628512297315,0.06375606375606375,0.052095955474244254
mammography,0.25,0.1199,2,0.4798,0.023249575248144506,0.8176601403495877,0.021348397677593906,0.1418634596763826,0.04597337180140849,0.08108227822122578,0.000600287607658389
mammography,0.25,0.1199,3,0.4798,0.023249575248144506,0.8303306399198407,0.050453222213586855,0.2572636359863793,0.12545559677884743,0.07918466071792242,0.0012075277575017487
mammography,0.25,0.1199,5,0.4798,0.023249575248144506,0.8715104876933781,0.018153300166804366,0.31210845502438095,0.06717811009426898,0.07620736154545396,0.0011686650914063445
mammography,0.25,0.1199,7,0.4798,0.023249575248144506,0.8989687663008821,0.030676050073772897,0.3292172578762092,0.08369950848652556,0.07440318430261306,0.0010633141378838422
mammography,0.25,0.1199,10,0.4798,0.023249575248144506,0.8991737769945832,0.026175631720318008,0.3176307071579593,0.06261781925458779,0.07291808790110814,0.001240449830935287
mammography,0.25,0.1199,15,0.4798,0.023249575248144506,0.8956247328186686,0.026347690630061857,0.28686779231583887,0.05110587264084615,0.07078498798730919,0.0012748532444154515
mammography,0.25,0.1199,20,0.4798,0.023249575248144506,0.8945862904624565,0.025448699546517312,0.27840318531808717,0.05109526654742741,0.06967655267168325,0.001163084334826434
mammography,0.5,0.2399,2,0.4798,0.023249575248144506,0.8204829155471648,0.017418291174818277,0.16821128092294033,0.04113160647554137,0.1142441832437204,0.004010878832830007
mammography,0.5,0.2399,3,0.4798,0.023249575248144506,0.8316621604500061,0.01813234984350066,0.18476584389631837,0.043174949383313156,0.11141803013288958,0.0047678890481369154
mammography,0.5,0.2399,5,0.4798,0.023249575248144506,0.8574285187176844,0.014277359737144397,0.23488894865702553,0.0471431081940928,0.1035193427559391,0.0035685897914450905
mammography,0.5,0.2399,7,0.4798,0.023249575248144506,0.8553897986218442,0.016462223745308924,0.23464171789564753,0.0545049875255708,0.09585985599888727,0.002874571550533569
mammography,0.5,0.2399,10,0.4798,0.023249575248144506,0.8532465223710162,0.020730315976520294,0.2313293981517235,0.056944922922459444,0.0890529427107815,0.0036195147001869105
mammography,0.5,0.2399,15,0.4798,0.023249575248144506,0.8633046324971161,0.021756478381835375,0.24996384068375388,0.06674004752982735,0.08539176161953024,0.002133939600987595
