dataset,eps_fraction,eps_abs,auto_eps,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
graves_ring_outliers,1.5,0.1257,0.0838,0.02912621359223301,0.4693333333333333,0.0730494505264908,0.048321702286655846,0.031168015161714784,0.0,0.0
graves_ring_outliers,2.0,0.1676,0.0838,0.02912621359223301,0.4766666666666667,0.07776745963304818,0.04988023329770312,0.03081150235438207,0.0,0.0
graves_ring_outliers,3.0,0.2514,0.0838,0.02912621359223301,0.4766666666666667,0.07776745963304818,0.04988023329770312,0.03081150235438207,0.0,0.0
graves_zigzag_outliers,0.25,0.0403,0.161,0.10714285714285714,0.03266666666666667,0.01691810338726603,0.06577453614492618,0.0006756014976236819,0.051043771043771044,0.02902474081083095
graves_zigzag_outliers,0.5,0.0805,0.161,0.10714285714285714,0.05400000000000001,0.031650873254584586,0.06675813898182024,0.0015084744136611092,0.0,0.0
graves_zigzag_outliers,0.75,0.1208,0.161,0.10714285714285714,0.05733333333333333,0.03220765954448311,0.0669150462404062,0.0015301321657047637,0.0,0.0
graves_zigzag_outliers,1.0,0.161,0.161,0.10714285714285714,0.06266666666666668,0.03708249062712902,0.06716059757696169,0.001756522920161407,0.0,0.0
graves_zigzag_outliers,1.5,0.2415,0.161,0.10714285714285714,0.07866666666666668,0.04982636517614612,0.06810277025004519,0.0024689664001678723,0.0,0.0
graves_zigzag_outliers,2.0,0.322,0.161,0.10714285714285714,0.07866666666666668,0.04982636517614612,0.06810277025004519,0.0024689664001678723,0.0,0.0
graves_zigzag_outliers,3.0,0.4831,0.161,0.10714285714285714,0.07866666666666668,0.04982636517614612,0.06810277025004519,0.0024689664001678723,0.0,0.0
sipu_flame,0.25,0.0835,0.3338,0.05,0.5,0.0,0.049999999999999996,0.010206207261596576,0.09505882352941178,0.018443216886838046
sipu_flame,0.5,0.1669,0.3338,0.05,0.4180998389694042,0.08934656614462413,0.05295324992164072,0.013844335019228824,0.09505882352941178,0.018443216886838046
sipu_flame,0.75,0.2504,0.3338,0.05,0.881851851851852,0.0624114704358704,0.38742063492063494,0.19770116863238119,0.18513951105255452,0.03008697461374654
sipu_flame,1.0,0.3338,0.3338,0.05,0.9223510466988728,0.03806623640871736,0.4606349206349206,0.16597862514808,0.22444444444444445,0.20371851797983717
sipu_flame,1.5,0.5008,0.3338,0.05,0.9340096618357489,0.03162333420055183,0.5295238095238095,0.19144818136415984,0.26666666666666666,0.3265986323710904
sipu_flame,2.0,0.6677,0.3338,0.05,0.9310466988727857,0.029757765709948363,0.48730158730158735,0.17588633838715878,0.26666666666666666,0.3265986323710904
sipu_flame,3.0,1.0015,0.3338,0.05,0.9310466988727857,0.029757765709948363,0.48730158730158735,0.17588633838715878,0.0,0.0
wut_x2,0.25,0.2111,0.8444,0.08333333333333333,0.8454545454545453,0.10890135046100852,0.5371031746031746,0.3051014456935154,0.24666666666666665,0.02449489742783177
wut_x2,0.5,0.4222,0.8444,0.08333333333333333,0.9136363636363637,0.026504326794751377,0.44666666666666666,0.08393118874676112,0.4812987012987013,0.08608185649646634
wut_x2,0.75,0.6333,0.8444,0.08333333333333333,0.8772727272727273,0.10123207932418218,0.4866666666666665,0.179009621094634,0.36,0.21333333333333332
wut_x2,1.0,0.8444,0.8444,0.08333333333333333,0.85,0.1497932459389462,0.6258333333333332,0.2682297936885875,0.5133333333333333,0.3276854860651868
wut_x2,1.5,1.2666,0.8444,0.08333333333333333,0.8636363636363636,0.15941525378863802,0.7258333333333333,0.2945853960323824,0.13333333333333333,0.26666666666666666
wut_x2,2.0,1.6888,0.8444,0.08333333333333333,0.8272727272727272,0.13529887332852014,0.6210714285714285,0.246044559318161,0.0,0.0
wut_x2,3.0,2.5333,0.8444,0.08333333333333333,0.8272727272727272,0.13529887332852014,0.6210714285714285,0.246044559318161,0.0,0.0
