dataset,n_estimators,true_contam,auc_roc,auc_roc_std,auc_pr,auc_pr_std,f1,f1_std
fcps_target,100,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,200,0.015584415584415584,1.0,0.0,1.0,0.0,0.9714285714285715,0.05714285714285716
fcps_target,500,0.015584415584415584,1.0,0.0,1.0,0.0,1.0,0.0
graves_fuzzyx,10,0.138,0.13102922730980937,0.0919781518705372,0.0823473733616041,0.005954007393757313,0.0,0.0
graves_fuzzyx,25,0.138,0.0626485361362361,0.031991550634035824,0.0772384408500805,0.0020906436027389127,0.0,0.0
graves_fuzzyx,50,0.138,0.039145482019188174,0.02473726351428019,0.07601577149230535,0.0017186395399068281,0.0,0.0
graves_fuzzyx,100,0.138,0.02081716123590032,0.007172323329391374,0.07542899314997717,0.0014738893385922477,0.0,0.0
graves_fuzzyx,200,0.138,0.015543626077636031,0.006028504791872594,0.07531112312002027,0.0015082822438364373,0.0,0.0
graves_fuzzyx,500,0.138,0.013734707188128355,0.005542225004303805,0.07526585104082706,0.0014784723518596144,0.0,0.0
graves_ring_outliers,10,0.02912621359223301,0.9898333333333333,0.008872554436137459,0.7822486772486773,0.19573098478202192,0.7003663003663003,0.1609622342473408
graves_ring_outliers,25,0.02912621359223301,0.9993333333333334,0.0013333333333333196,0.9866666666666667,0.02666666666666666,0.8720879120879121,0.10164591621674053
graves_ring_outliers,50,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,100,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,200,0.02912621359223301,1.0,0.0,1.0,0.0,1.0,0.0
graves_ring_outliers,500,0.02912621359223301,1.0,0.0,1.0,0.0,0.9846153846153847,0.03076923076923075
graves_zigzag_outliers,10,0.10714285714285714,0.9480000000000001,0.029709706606876243,0.6473322973322974,0.12191159878940112,0.6842645074224021,0.1290013375274711
graves_zigzag_outliers,25,0.10714285714285714,0.9719999999999999,0.011661903789690568,0.749491341991342,0.10131682224464085,0.7853156647274295,0.08232370479589354
graves_zigzag_outliers,50,0.10714285714285714,0.9773333333333334,0.011035296904831229,0.7587301587301587,0.11768827087067385,0.8089010989010988,0.07465122381288374
graves_zigzag_outliers,100,0.10714285714285714,0.9746666666666666,0.008589399151150083,0.743452380952381,0.08338093878327922,0.7974725274725275,0.07065822978635597
graves_zigzag_outliers,200,0.10714285714285714,0.9793333333333333,0.008793937305515299,0.7837301587301587,0.09728002816647696,0.80989010989011,0.06909545471370712
graves_zigzag_outliers,500,0.10714285714285714,0.974,0.011430952132988193,0.7272619047619047,0.11178717226089123,0.816043956043956,0.06652246611308071
sipu_flame,10,0.05,0.49706924315619966,0.15880257037465367,0.2487729897666763,0.23077332597653905,0.10714285714285714,0.13170777796132696
sipu_flame,25,0.05,0.4381803542673108,0.15671830165781442,0.24350601944727845,0.2318679808219869,0.1,0.12247448713915891
sipu_flame,50,0.05,0.452012882447665,0.1646950131263845,0.2448281737330973,0.23184555007143098,0.11666666666666665,0.1452966314513558
sipu_flame,100,0.05,0.3982608695652174,0.1514201235361592,0.24094348405893395,0.23164224484362353,0.13714285714285715,0.17180910146711897
sipu_flame,200,0.05,0.39639291465378423,0.17972531954471938,0.24067517806752575,0.2333086429098353,0.13714285714285715,0.17180910146711897
sipu_flame,500,0.05,0.37297906602254427,0.17860602096441597,0.23939906407772654,0.2333639783736293,0.13714285714285715,0.17180910146711897
wut_x2,10,0.08333333333333333,0.9136363636363637,0.08430562268632456,0.663888888888889,0.30661432725659177,0.5133333333333333,0.3276854860651868
wut_x2,25,0.08333333333333333,0.9227272727272728,0.08080176743014174,0.6699999999999999,0.24729649321321878,0.4666666666666666,0.24494897427831783
wut_x2,50,0.08333333333333333,0.9363636363636363,0.054545454545454584,0.6519047619047619,0.22660063063678496,0.3666666666666666,0.30550504633038933
wut_x2,100,0.08333333333333333,0.909090909090909,0.06893523130955956,0.5952380952380952,0.23010398911142035,0.4666666666666666,0.24494897427831783
wut_x2,200,0.08333333333333333,0.9272727272727274,0.06649426744694455,0.6535714285714286,0.27074894027887075,0.4666666666666666,0.24494897427831783
wut_x2,500,0.08333333333333333,0.9318181818181819,0.06893523130955959,0.6702380952380953,0.2786222989775376,0.4666666666666666,0.24494897427831783
